Country Code,Region,IncomeGroup,Country Name,2020,2021,2022,2023
GNQ,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,1596049.0,1634466.0,1674908.0,1714671.0
GRC,Europe & Central Asia,High income,Greece,10698599.0,10569207.0,10426919.0,10361295.0
GRD,Latin America & Caribbean,Upper middle income,Grenada,123663.0,124610.0,125438.0,126183.0
GRL,Europe & Central Asia,High income,Greenland,56367.0,56653.0,56661.0,56865.0
GTM,Latin America & Caribbean,Upper middle income,Guatemala,16858333.0,17109746.0,17357886.0,17602431.0
GUM,East Asia & Pacific,High income,Guam,169231.0,170534.0,171774.0,172952.0
GUY,Latin America & Caribbean,High income,Guyana,797202.0,804567.0,808726.0,813834.0
HIC,Unknown,Unknown,High income,1393950970.0,1392964458.0,1395940386.0,1403021503.0
HKG,East Asia & Pacific,High income,"Hong Kong SAR, China",7481000.0,7413100.0,7346100.0,7536100.0
HND,Latin America & Caribbean,Lower middle income,Honduras,10121763.0,10278345.0,10432860.0,10593798.0
HPC,Unknown,Unknown,Heavily indebted poor countries (HIPC),838066650.0,861156745.0,884288332.0,907995430.0
HRV,Europe & Central Asia,High income,Croatia,4047680.0,3878981.0,3855641.0,3853200.0
HTI,Latin America & Caribbean,Lower middle income,Haiti,11306801.0,11447569.0,11584996.0,11724763.0
HUN,Europe & Central Asia,High income,Hungary,9750149.0,9709891.0,9643048.0,9589872.0
IBD,Unknown,Unknown,IBRD only,4866828116.0,4894666421.0,4912348798.0,4937047867.0
IBT,Unknown,Unknown,IDA & IBRD total,6628629499.0,6696373761.0,6754104791.0,6819750360.0
IDA,Unknown,Unknown,IDA total,1761801383.0,1801707340.0,1841755993.0,1882702493.0
IDB,Unknown,Unknown,IDA blend,584212703.0,596608333.0,609342910.0,622553200.0
IDN,East Asia & Pacific,Upper middle income,Indonesia,271857970.0,273753191.0,275501339.0,277534122.0
IDX,Unknown,Unknown,IDA only,1177588680.0,1205099007.0,1232413083.0,1260149293.0
IMN,Europe & Central Asia,High income,Isle of Man,84046.0,84263.0,84519.0,84710.0
IND,South Asia,Lower middle income,India,1396387127.0,1407563842.0,1417173173.0,1428627663.0
IRL,Europe & Central Asia,High income,Ireland,4985382.0,5033164.0,5127170.0,5262382.0
IRN,Middle East & North Africa,Upper middle income,"Iran, Islamic Rep.",87290193.0,87923432.0,88550570.0,89172767.0
IRQ,Middle East & North Africa,Upper middle income,Iraq,42556984.0,43533592.0,44496122.0,45504560.0
ISL,Europe & Central Asia,High income,Iceland,366463.0,372520.0,382003.0,393600.0
